author,authorName
http://www.gra.fo/resource/22974706300,http://sdm_lab2/Aleebrahim%20N.
http://www.gra.fo/resource/22981802800,http://sdm_lab2/Silva%20J%C3%BAnior%20J.A.
http://www.gra.fo/resource/23020576900,http://sdm_lab2/Vezzetti%20E.
http://www.gra.fo/resource/23135290500,http://sdm_lab2/Johns%20M.
http://www.gra.fo/resource/23135482100,http://sdm_lab2/Rabl%20T.
http://www.gra.fo/resource/23135842600,http://sdm_lab2/Tsiftes%20N.
http://www.gra.fo/resource/23396672600,http://sdm_lab2/Hashem%20T.
http://www.gra.fo/resource/23467846300,http://sdm_lab2/Qiao%20Y.
http://www.gra.fo/resource/23971743300,http://sdm_lab2/%C5%A0iki%C4%87%20M.
http://www.gra.fo/resource/23986475800,http://sdm_lab2/Pujari%20J.
http://www.gra.fo/resource/23995978100,http://sdm_lab2/Zidi%20S.
http://www.gra.fo/resource/24071859600,http://sdm_lab2/Shah%20I.
http://www.gra.fo/resource/24335052400,http://sdm_lab2/Koch%20A.
http://www.gra.fo/resource/24463903600,http://sdm_lab2/Sariff%20N.
http://www.gra.fo/resource/24474074800,http://sdm_lab2/Figueira%20D.
http://www.gra.fo/resource/24723160000,http://sdm_lab2/Necasky%20M.
http://www.gra.fo/resource/24759577300,http://sdm_lab2/Pohit%20M.
http://www.gra.fo/resource/24822561400,http://sdm_lab2/Oster%20J.
http://www.gra.fo/resource/25822202900,http://sdm_lab2/Ben%20Abdallah%20A.
http://www.gra.fo/resource/25928522000,http://sdm_lab2/Padmavathy%20T.
http://www.gra.fo/resource/26021552100,http://sdm_lab2/Stock%20S.J.
http://www.gra.fo/resource/26221014200,http://sdm_lab2/Borah%20S.
http://www.gra.fo/resource/26660863200,http://sdm_lab2/Hu%20B.
http://www.gra.fo/resource/26867687500,http://sdm_lab2/Fathi%20L.
http://www.gra.fo/resource/35078595000,http://sdm_lab2/Hans%20S.
http://www.gra.fo/resource/35111277800,http://sdm_lab2/Liu%20Y.
http://www.gra.fo/resource/35226378800,http://sdm_lab2/Kusakunniran%20W.
http://www.gra.fo/resource/35237706300,http://sdm_lab2/Li%20C.
http://www.gra.fo/resource/35243896900,http://sdm_lab2/Yamashita%20K.
http://www.gra.fo/resource/35264335800,http://sdm_lab2/Furinto%20A.
http://www.gra.fo/resource/35269333200,http://sdm_lab2/Lo%20M.-T.
http://www.gra.fo/resource/35410216600,http://sdm_lab2/Romero%20E.
http://www.gra.fo/resource/35519411300,http://sdm_lab2/Costa%20D.G.
http://www.gra.fo/resource/35556471300,http://sdm_lab2/Samet%20H.
http://www.gra.fo/resource/35622616200,http://sdm_lab2/Traonmilin%20Y.
http://www.gra.fo/resource/35956632500,http://sdm_lab2/Klimek%20J.
http://www.gra.fo/resource/35976902500,http://sdm_lab2/Satori%20K.
http://www.gra.fo/resource/36022338100,http://sdm_lab2/David%20O.
http://www.gra.fo/resource/36081282300,http://sdm_lab2/Sotiriadis%20S.
http://www.gra.fo/resource/36156965100,http://sdm_lab2/Chung%20M.
http://www.gra.fo/resource/36482627500,http://sdm_lab2/Chen%20J.
http://www.gra.fo/resource/36537969500,http://sdm_lab2/Silva%20I.
http://www.gra.fo/resource/36572773000,http://sdm_lab2/Zhao%20J.
http://www.gra.fo/resource/36611050300,http://sdm_lab2/Yang%20X.
http://www.gra.fo/resource/36634803600,http://sdm_lab2/Lin%20C.
